Console Output: 

Fahim Ahmed
rabin_karp NSRN 2536
knuth_morris_pratt NSRN 2536
boyer_moore NSRN 2536
native_search HZNC 83601
brute_force HZNC 83601
rabin_karp HZNC 83601
knuth_morris_pratt HZNC 83601
boyer_moore HZNC 83601
native_search AYKM 48926
brute_force AYKM 48926
rabin_karp AYKM 48926
knuth_morris_pratt AYKM 48926
boyer_moore AYKM 48926
native_search QTOQ 9054
brute_force QTOQ 9054
rabin_karp QTOQ 9054
knuth_morris_pratt QTOQ 9054
boyer_moore QTOQ 9054
native_search PYHY 67335
brute_force PYHY 67335
rabin_karp PYHY 67335
knuth_morris_pratt PYHY 67335
boyer_moore PYHY 67335
native_search VZYC 71220
brute_force VZYC 71220
rabin_karp VZYC 71220
knuth_morris_pratt VZYC 71220
boyer_moore VZYC 71220
native_search DWSZ 97046
brute_force DWSZ 97046
rabin_karp DWSZ 97046
knuth_morris_pratt DWSZ 97046
boyer_moore DWSZ 97046
native_search QNZY 29490
brute_force QNZY 29490
rabin_karp QNZY 29490
knuth_morris_pratt QNZY 29490
boyer_moore QNZY 29490
native_search TUGM 84460
brute_force TUGM 84460
rabin_karp TUGM 84460
knuth_morris_pratt TUGM 84460
boyer_moore TUGM 84460
native_search WNHB 84666
brute_force WNHB 84666
rabin_karp WNHB 84666
knuth_morris_pratt WNHB 84666
boyer_moore WNHB 84666
native_search KFBT 2174
brute_force KFBT 2174
rabin_karp KFBT 2174
knuth_morris_pratt KFBT 2174
boyer_moore KFBT 2174
                      100       1000       10000       100000
native_search       0.086069  0.115871   0.153065    0.710249
brute_force         0.162840  0.501156   8.831263   84.085226
rabin_karp          0.316143  1.266956  21.791458  217.222691
knuth_morris_pratt  0.301361  0.990391  16.528606  149.856329
boyer_moore         0.200272  0.480890   7.564068   75.968027
